Real,Simple,Expansiva,Deslizante
47347.96,34852.9899817884,34852.9899817884,34852.9899817884
32553.34,28514.79828639984,28514.79828639984,28514.79828639984
18036.72,15951.05073849678,15951.05073849678,15951.05073849678
3534.93,4364.311840592921,4364.311840592921,4364.311840592921
13684.4,798.277495572269,798.277495572269,798.277495572269
43071.07,10107.635119089484,10107.635119089484,10107.635119089484
52841.97,24208.825645346642,24208.825645346642,24208.825645346642
44546.22,34037.44334217787,34037.44334217787,34037.44334217787
50353.5,41331.380227849484,41331.380227849484,41331.380227849484
55794.65,44464.52144557953,44464.52144557953,44464.52144557953
58345.99,44697.696859354975,44697.696859354975,44697.696859354975
34347.99,42425.483110275265,42425.483110275265,42425.483110275265
27369.95,40883.6232292223,37514.94474148989,37514.94474148989
11653.59,32852.123411092754,30666.700159868,30666.700159868
5588.93,19853.825191373824,18356.08416716099,18356.08416716099
882.78,7365.196828099787,6390.645550571978,6390.645550571978
18686.83,2543.4596223559975,859.8246901914478,859.8246901914478
23866.95,9809.923527610303,8359.852827872932,8359.852827872932
38807.48,22843.28875158727,21818.302967357635,21818.302967357635
58003.22,33230.8076928091,32198.024309712648,32198.024309712648
54356.04,40436.7152638793,39374.15396796107,39374.15396796107
49708.28,44264.9754683423,42890.59898032188,42890.59898032188
52328.33,44414.243238186835,43187.01193680048,43187.01193680048
47216.08,43198.987165349725,41375.271389399764,41375.271389399764
49575.95,40262.41644912004,42953.25763669491,42953.25763669491
46917.95,32589.309017214775,33668.26823324442,33668.26823324442
35034.04,18588.75209058702,17799.71844489634,17799.71844489634
5661.15,6730.506820558309,5710.320968815982,5710.320968815982
8639.64,4982.295188646913,5126.379513810426,5126.379513810426
42485.21,14742.402653118073,15635.834589205086,15635.834589205086
49520.51,27785.827956702113,28202.124412907957,28202.124412907957
58106.04,36383.35318032503,36242.03930865645,36242.03930865645
55987.95,42702.1135912323,42919.16895033479,42919.16895033479
57071.11,45326.44459871769,45658.2699616313,45658.2699616313
54205.65,45249.77689315558,45410.367679617404,45410.367679617404
51560.69,43211.247977821826,43126.900380280014,43126.900380280014
47003.56,41106.525340259075,46525.66552021026,46525.66552021026
21155.15,32819.04198694706,38001.29416212559,38001.29416212559
814.02,17812.502184686662,20927.497245588303,20927.497245588303
0.0,5488.525013075024,7217.268215298951,7217.268215298951
5392.58,4009.4670627617834,4289.414079985171,4289.414079985171
13301.56,14237.327224513292,13606.92676467806,13606.92676467806
40908.43,27268.00448629737,25863.560642290115,25863.560642290115
47171.04,35872.200410064455,34239.25083534479,34239.25083534479
51381.3,42405.34558447122,40833.05557866454,40833.05557866454
54484.68,45274.94687078953,44423.273864936826,44423.273864936826
56932.06,45003.757921335695,44283.306868796346,44283.306868796346
41457.51,42927.26564047217,42697.864565569165,42697.864565569165
41052.48,37408.321597964765,37881.09806378007,37881.09806378007
