Fecha_Hora,Irradiancia_It,Temperatura_Tt,Humedad_Ht,Viento_Wt,kWh
2019-01-01 06:00:00,32.9,25.06,60.09,8.784,400.0
2019-01-01 07:00:00,240.93,27.67,50.07,9.504,2900.0
2019-01-01 08:00:00,478.05,30.71,40.1,10.872,6400.0
2019-01-01 09:00:00,672.83,33.35,33.98,10.872,8600.0
2019-01-01 10:00:00,810.33,35.38,29.79,10.656,10100.0
2019-01-01 11:00:00,878.78,36.91,26.71,10.332,10600.0
2019-01-01 12:00:00,864.97,37.97,24.62,9.864,10600.0
2019-01-01 13:00:00,785.4,38.43,23.41,9.504,9700.0
2019-01-01 14:00:00,659.15,38.25,23.14,9.18,8300.0
2019-01-01 15:00:00,451.67,37.45,23.8,8.784,5800.0
2019-01-01 16:00:00,221.9,35.74,27.02,7.920000000000001,2600.0
2019-01-01 17:00:00,26.2,32.44,36.67,6.948,199.0
2019-01-02 06:00:00,32.25,25.34,58.52,8.892000000000001,400.0
2019-01-02 07:00:00,232.82,28.0,48.93,9.432,2900.0
2019-01-02 08:00:00,468.55,31.0,38.71,10.188,6400.0
2019-01-02 09:00:00,672.4,33.67,32.48,10.152,8700.0
2019-01-02 10:00:00,808.55,35.65,28.47,9.972,8200.0
2019-01-02 11:00:00,887.25,37.16,25.61,9.756,10700.0
2019-01-02 12:00:00,882.9,38.21,23.6,9.36,10700.0
2019-01-02 13:00:00,802.1,38.72,22.4,8.856,12000.0
2019-01-02 14:00:00,658.33,38.64,22.12,8.388,9300.0
2019-01-02 15:00:00,453.23,37.86,23.0,7.956,5900.0
2019-01-02 16:00:00,224.7,36.12,26.24,7.02,2600.0
2019-01-02 17:00:00,26.58,32.45,36.67,5.508,199.0
2019-01-03 06:00:00,35.33,24.22,62.38,7.2,400.0
2019-01-03 07:00:00,245.18,27.74,50.07,9.036,2900.0
2019-01-03 08:00:00,478.17,31.39,40.12,10.152,6300.0
2019-01-03 09:00:00,676.95,34.26,33.2,9.792000000000002,8500.0
2019-01-03 10:00:00,820.85,36.39,28.52,9.036,9800.0
2019-01-03 11:00:00,885.67,37.97,25.38,8.388,10400.0
2019-01-03 12:00:00,882.17,39.03,23.36,7.920000000000001,10300.0
2019-01-03 13:00:00,805.67,39.56,22.25,7.416,9700.0
2019-01-03 14:00:00,657.58,39.53,21.98,6.696000000000001,8200.0
2019-01-03 15:00:00,455.65,38.89,22.64,5.688000000000001,5600.0
2019-01-03 16:00:00,223.88,37.23,26.39,4.032000000000001,2500.0
2019-01-03 17:00:00,26.3,32.59,41.65,2.52,199.0
2019-01-04 06:00:00,33.38,24.8,60.09,5.867999999999999,300.0
2019-01-04 07:00:00,238.32,27.69,50.45,6.336,2500.0
2019-01-04 08:00:00,466.8,31.65,38.8,8.028,2000.0
2019-01-04 09:00:00,664.25,34.77,31.49,8.532,2500.0
2019-01-04 10:00:00,788.15,36.87,27.29,8.532,800.0
2019-01-04 11:00:00,845.42,38.47,24.58,8.316,2000.0
2019-01-04 12:00:00,854.62,39.56,22.82,7.884,3600.0
2019-01-04 13:00:00,757.67,40.15,21.87,7.416,3800.0
2019-01-04 14:00:00,635.58,40.13,21.9,6.984,3800.0
2019-01-04 15:00:00,440.42,39.47,22.88,6.516,3400.0
2019-01-04 16:00:00,218.68,37.84,26.86,5.364,1800.0
2019-01-04 17:00:00,27.17,34.04,38.57,2.8440000000000003,199.0
2019-01-05 06:00:00,33.33,25.25,59.17,4.14,200.0
2019-01-05 07:00:00,239.73,27.89,52.52,5.688000000000001,2100.0
2019-01-05 08:00:00,469.33,31.57,40.36,7.632000000000001,3700.0
2019-01-05 09:00:00,665.9,34.71,33.41,8.028,3900.0
2019-01-05 10:00:00,807.3,36.91,28.98,7.704000000000001,3800.0
2019-01-05 11:00:00,872.35,38.56,25.71,6.876,3900.0
2019-01-05 12:00:00,868.9,39.69,23.52,6.156,3800.0
2019-01-05 13:00:00,780.0,40.21,22.45,5.760000000000001,3800.0
2019-01-05 14:00:00,642.8,40.1,22.42,5.472,3800.0
2019-01-05 15:00:00,431.7,39.34,23.43,4.896000000000001,3600.0
2019-01-05 16:00:00,207.5,37.75,26.32,3.744,1800.0
2019-01-05 17:00:00,24.88,33.65,37.25,1.8,199.0
2019-01-06 06:00:00,28.42,25.87,65.0,3.384,300.0
2019-01-06 07:00:00,209.43,28.48,51.51,4.284,1900.0
2019-01-06 08:00:00,422.92,31.64,41.63,4.464,3700.0
2019-01-06 09:00:00,609.25,34.36,35.06,4.392,3900.0
2019-01-06 10:00:00,750.65,36.45,31.04,4.680000000000001,3800.0
2019-01-06 11:00:00,817.95,37.93,28.49,4.86,3900.0
2019-01-06 12:00:00,783.28,38.8,26.99,5.076,3800.0
2019-01-06 13:00:00,675.5,38.96,26.5,5.148,3500.0
2019-01-06 14:00:00,490.98,38.63,26.8,5.004,3100.0
2019-01-06 15:00:00,314.27,37.07,29.33,4.392,3100.0
2019-01-06 16:00:00,146.15,35.37,33.71,3.3120000000000003,1700.0
2019-01-06 17:00:00,19.58,33.02,43.55,1.62,200.0
2019-01-07 06:00:00,24.08,25.72,61.61,3.3120000000000003,200.0
2019-01-07 07:00:00,170.27,28.23,48.5,5.328,1099.0
2019-01-07 08:00:00,332.9,31.39,37.39,6.192,0.0
2019-01-07 09:00:00,475.15,34.13,31.93,5.724,0.0
2019-01-07 10:00:00,582.0,36.03,29.26,5.5440000000000005,0.0
2019-01-07 11:00:00,664.33,37.22,27.78,5.652,0.0
2019-01-07 12:00:00,664.17,38.06,26.75,5.832000000000001,0.0
2019-01-07 13:00:00,594.95,38.22,26.65,5.760000000000001,0.0
2019-01-07 14:00:00,518.5,37.41,28.09,5.328,0.0
2019-01-07 15:00:00,333.52,36.51,29.94,4.464,0.0
2019-01-07 16:00:00,160.2,35.14,33.2,3.168,0.0
2019-01-07 17:00:00,20.92,32.2,45.18,2.4120000000000004,0.0
2019-01-09 06:00:00,16.42,24.65,64.52,3.06,0.0
2019-01-09 07:00:00,123.07,27.16,50.64,2.9160000000000004,0.0
2019-01-09 08:00:00,261.0,30.45,38.62,1.548,0.0
2019-01-09 09:00:00,447.48,33.04,32.04,2.3400000000000003,100.0
