Mes,Generacion_Total_kWh
2019-01,2139572.66
2019-02,4486629.63
2019-03,9895324.82
2019-04,11038504.26
2019-05,8813251.3
2019-06,10233720.61
2019-07,10863822.83
2019-08,11254412.1
2019-09,10639397.72
2019-10,10448212.44
2019-11,11376632.94
2019-12,11037462.15
2020-01,13595073.94
2020-02,13433031.04
2020-03,13867717.58
2020-04,12546860.0
2020-05,11828172.19
2020-06,11261314.52
2020-07,11209268.61
2020-08,10066048.48
2020-09,10288366.18
2020-10,9869767.84
2020-11,8122495.66
2020-12,10037563.16
2021-01,10639934.37
2021-02,10766491.52
2021-03,10984154.64
2021-04,10063997.95
2021-05,8729961.54
2021-06,8806818.64
2021-07,12267631.25
2021-08,10396302.54
2021-09,10305327.77
2021-10,11067156.94
2021-11,12225603.21
2021-12,12752245.4
2022-01,13895797.19
2022-02,12850733.51
2022-03,13779468.56
2022-04,12980938.93
2022-05,12125130.86
2022-06,10943069.43
2022-07,13340255.83
2022-08,12520268.26
2022-09,11761944.1
2022-10,11344438.01
2022-11,10746801.79
2022-12,13827424.02
2023-01,12683629.84
2023-02,13104196.79
2023-03,13968635.51
2023-04,11968831.12
2023-05,12969364.94
2023-06,12624072.1
2023-07,13325642.26
2023-08,13295989.77
2023-09,12609645.1
2023-10,12131952.98
2023-11,12756108.73
2023-12,14739962.19
