Fecha_Hora,Irradiancia_It,Temperatura_Tt,Humedad_Ht,Viento_Wt
2019-01-01 06:00:00,0.0,25.6,56,23.0
2019-01-01 07:00:00,40.0,25.9,55,17.0
2019-01-01 08:00:00,235.0,28.1,48,19.0
2019-01-01 09:00:00,460.0,31.0,39,21.1
2019-01-01 10:00:00,656.0,33.0,33,18.9
2019-01-01 11:00:00,799.0,34.3,30,16.7
2019-01-01 12:00:00,873.0,35.8,28,17.7
2019-01-01 13:00:00,872.0,36.2,29,24.5
2019-01-01 14:00:00,793.0,36.0,31,25.2
2019-01-01 15:00:00,646.0,35.5,32,24.3
2019-01-01 16:00:00,448.0,34.9,33,21.7
2019-01-01 17:00:00,223.0,33.7,36,18.3
2019-01-02 06:00:00,0.0,23.8,70,24.2
2019-01-02 07:00:00,38.0,24.9,63,22.8
2019-01-02 08:00:00,235.0,27.1,54,26.8
2019-01-02 09:00:00,463.0,29.6,45,26.0
2019-01-02 10:00:00,662.0,32.2,37,23.2
2019-01-02 11:00:00,806.0,33.7,34,19.7
2019-01-02 12:00:00,879.0,34.7,32,17.3
2019-01-02 13:00:00,875.0,35.7,30,19.3
2019-01-02 14:00:00,797.0,36.1,29,20.8
2019-01-02 15:00:00,652.0,35.8,28,21.1
2019-01-02 16:00:00,455.0,35.3,27,19.6
2019-01-02 17:00:00,229.0,34.0,29,16.7
2019-01-03 06:00:00,0.0,24.2,69,17.7
2019-01-03 07:00:00,39.0,25.1,65,19.1
2019-01-03 08:00:00,231.0,27.3,56,21.1
2019-01-03 09:00:00,455.0,30.0,47,17.3
2019-01-03 10:00:00,652.0,32.5,37,12.9
2019-01-03 11:00:00,796.0,34.2,34,9.2
2019-01-03 12:00:00,872.0,35.5,32,8.3
2019-01-03 13:00:00,871.0,36.5,29,8.2
2019-01-03 14:00:00,789.0,36.7,29,8.0
2019-01-03 15:00:00,650.0,36.7,29,6.3
2019-01-03 16:00:00,453.0,36.6,29,4.2
2019-01-03 17:00:00,227.0,35.5,33,5.7
2019-01-04 06:00:00,0.0,25.3,67,16.9
2019-01-04 07:00:00,38.0,26.0,65,15.7
2019-01-04 08:00:00,230.0,28.5,56,16.3
2019-01-04 09:00:00,456.0,31.2,44,14.8
2019-01-04 10:00:00,652.0,33.3,37,12.2
2019-01-04 11:00:00,794.0,34.8,34,9.7
2019-01-04 12:00:00,868.0,36.0,32,7.2
2019-01-04 13:00:00,868.0,36.7,31,6.6
2019-01-04 14:00:00,792.0,37.0,30,5.4
2019-01-04 15:00:00,649.0,37.0,30,4.2
2019-01-04 16:00:00,454.0,37.0,29,4.5
2019-01-04 17:00:00,229.0,35.8,32,7.9
2019-01-05 06:00:00,0.0,25.5,63,17.9
2019-01-05 07:00:00,37.0,26.2,61,16.5
2019-01-05 08:00:00,231.0,28.5,53,13.6
2019-01-05 09:00:00,457.0,31.5,43,12.7
2019-01-05 10:00:00,655.0,33.5,37,8.9
2019-01-05 11:00:00,799.0,34.8,34,5.4
2019-01-05 12:00:00,874.0,35.8,32,4.6
2019-01-05 13:00:00,875.0,36.4,30,5.3
2019-01-05 14:00:00,800.0,36.8,28,4.7
2019-01-05 15:00:00,657.0,37.0,27,3.7
2019-01-05 16:00:00,461.0,37.0,27,4.1
2019-01-05 17:00:00,233.0,35.8,34,3.3
2019-01-06 06:00:00,0.0,25.5,64,17.1
2019-01-06 07:00:00,35.0,26.1,64,14.5
2019-01-06 08:00:00,221.0,28.0,58,16.4
2019-01-06 09:00:00,441.0,30.3,50,16.8
2019-01-06 10:00:00,637.0,32.0,46,13.0
2019-01-06 11:00:00,784.0,33.3,43,9.7
2019-01-06 12:00:00,862.0,34.1,40,8.6
2019-01-06 13:00:00,842.0,34.7,38,6.7
2019-01-06 14:00:00,773.0,35.2,36,6.3
2019-01-06 15:00:00,605.0,35.2,35,6.5
2019-01-06 16:00:00,397.0,35.3,34,6.5
2019-01-06 17:00:00,203.0,34.5,36,5.4
2019-01-07 06:00:00,0.0,26.6,59,16.7
2019-01-07 07:00:00,32.0,27.0,60,13.8
2019-01-07 08:00:00,202.0,28.5,55,15.1
2019-01-07 09:00:00,413.0,30.0,53,11.6
2019-01-07 10:00:00,603.0,31.2,52,7.9
2019-01-07 11:00:00,771.0,32.6,47,8.0
2019-01-07 12:00:00,784.0,33.5,44,8.3
2019-01-07 13:00:00,838.0,34.2,40,7.2
2019-01-07 14:00:00,782.0,34.6,39,7.1
2019-01-07 15:00:00,626.0,34.7,39,7.1
2019-01-07 16:00:00,433.0,34.5,39,6.1
2019-01-07 17:00:00,222.0,33.7,41,7.0
2019-01-08 06:00:00,0.0,25.1,71,8.3
2019-01-08 07:00:00,27.0,25.8,74,8.2
2019-01-08 08:00:00,200.0,27.4,68,13.2
2019-01-08 09:00:00,424.0,29.4,54,18.4
2019-01-08 10:00:00,632.0,31.2,46,16.9
2019-01-08 11:00:00,789.0,32.7,42,12.1
2019-01-08 12:00:00,869.0,33.8,39,7.5
2019-01-08 13:00:00,861.0,34.3,36,4.6
2019-01-08 14:00:00,750.0,34.8,33,4.9
2019-01-08 15:00:00,563.0,35.1,31,5.3
2019-01-08 16:00:00,367.0,34.3,32,6.6
2019-01-08 17:00:00,167.0,32.7,41,7.6
2019-01-09 06:00:00,0.0,24.7,66,18.1
2019-01-09 07:00:00,32.0,25.4,64,16.1
2019-01-09 08:00:00,198.0,26.9,59,17.2
2019-01-09 09:00:00,416.0,29.0,52,15.5
2019-01-09 10:00:00,617.0,30.4,50,10.9
2019-01-09 11:00:00,756.0,31.6,45,8.6
2019-01-09 12:00:00,755.0,32.3,41,5.6
2019-01-09 13:00:00,708.0,32.7,41,4.4
2019-01-09 14:00:00,617.0,32.5,41,5.8
2019-01-09 15:00:00,488.0,32.5,42,7.9
2019-01-09 16:00:00,265.0,32.0,43,7.4
2019-01-09 17:00:00,175.0,31.4,45,4.7
2019-01-10 06:00:00,0.0,22.9,96,5.8
2019-01-10 07:00:00,23.0,23.3,92,5.0
2019-01-10 08:00:00,164.0,24.1,86,4.7
2019-01-10 09:00:00,350.0,25.5,78,3.2
2019-01-10 10:00:00,543.0,27.4,70,5.1
2019-01-10 11:00:00,679.0,28.7,63,6.2
2019-01-10 12:00:00,695.0,29.6,57,6.1
2019-01-10 13:00:00,644.0,30.2,54,5.1
2019-01-10 14:00:00,629.0,30.9,51,4.0
2019-01-10 15:00:00,530.0,31.2,49,3.3
2019-01-10 16:00:00,394.0,31.2,49,2.5
2019-01-10 17:00:00,198.0,30.8,49,3.9
2019-01-11 06:00:00,0.0,24.6,65,13.0
2019-01-11 07:00:00,28.0,25.1,64,12.0
2019-01-11 08:00:00,167.0,26.8,59,11.8
2019-01-11 09:00:00,346.0,28.5,52,12.9
2019-01-11 10:00:00,549.0,30.1,48,9.5
2019-01-11 11:00:00,693.0,31.2,44,7.9
2019-01-11 12:00:00,785.0,32.1,41,5.6
2019-01-11 13:00:00,811.0,33.0,38,4.4
2019-01-11 14:00:00,757.0,33.3,36,3.3
2019-01-11 15:00:00,561.0,33.2,36,2.6
2019-01-11 16:00:00,382.0,32.8,36,3.1
2019-01-11 17:00:00,210.0,32.3,37,3.3
2019-01-12 06:00:00,0.0,25.3,64,17.7
2019-01-12 07:00:00,29.0,25.9,63,17.3
2019-01-12 08:00:00,209.0,28.0,54,18.3
2019-01-12 09:00:00,432.0,30.0,44,17.3
2019-01-12 10:00:00,639.0,31.5,40,14.2
2019-01-12 11:00:00,787.0,33.0,37,12.1
2019-01-12 12:00:00,865.0,34.1,34,10.2
2019-01-12 13:00:00,816.0,34.7,32,8.4
2019-01-12 14:00:00,703.0,34.8,31,8.6
2019-01-12 15:00:00,575.0,34.7,31,9.2
2019-01-12 16:00:00,412.0,34.2,32,10.8
2019-01-12 17:00:00,221.0,33.3,34,12.1
2019-01-13 06:00:00,0.0,25.0,63,18.4
2019-01-13 07:00:00,31.0,25.6,62,18.3
2019-01-13 08:00:00,211.0,27.8,55,19.0
2019-01-13 09:00:00,434.0,30.0,46,18.1
2019-01-13 10:00:00,633.0,31.8,41,18.2
2019-01-13 11:00:00,786.0,33.3,37,17.5
2019-01-13 12:00:00,870.0,34.8,32,14.8
2019-01-13 13:00:00,873.0,35.3,31,12.9
2019-01-13 14:00:00,794.0,35.5,29,12.6
2019-01-13 15:00:00,629.0,35.2,30,13.2
2019-01-13 16:00:00,444.0,34.6,31,12.4
2019-01-13 17:00:00,232.0,33.9,32,9.4
2019-01-14 06:00:00,0.0,24.6,66,17.1
2019-01-14 07:00:00,32.0,25.5,61,16.7
2019-01-14 08:00:00,220.0,27.5,51,21.1
2019-01-14 09:00:00,448.0,30.0,43,20.1
2019-01-14 10:00:00,648.0,32.3,36,18.4
2019-01-14 11:00:00,796.0,34.2,31,16.9
2019-01-14 12:00:00,881.0,35.3,28,14.9
2019-01-14 13:00:00,887.0,36.2,26,12.3
2019-01-14 14:00:00,810.0,36.5,26,10.8
2019-01-14 15:00:00,658.0,36.2,26,10.0
2019-01-14 16:00:00,459.0,35.7,28,11.2
2019-01-14 17:00:00,237.0,34.5,31,13.4
2019-01-15 06:00:00,0.0,24.7,62,18.6
2019-01-15 07:00:00,31.0,25.1,62,19.1
2019-01-15 08:00:00,219.0,27.2,54,20.6
2019-01-15 09:00:00,447.0,29.9,45,18.8
2019-01-15 10:00:00,649.0,32.0,38,18.1
2019-01-15 11:00:00,796.0,33.8,33,17.6
2019-01-15 12:00:00,876.0,35.0,31,15.3
2019-01-15 13:00:00,883.0,35.7,30,12.4
2019-01-15 14:00:00,814.0,36.2,28,10.2
2019-01-15 15:00:00,673.0,36.6,27,10.6
2019-01-15 16:00:00,413.0,36.3,27,13.9
2019-01-15 17:00:00,154.0,35.1,29,14.6
2019-01-16 06:00:00,0.0,25.1,63,21.3
2019-01-16 07:00:00,29.0,25.4,63,20.0
2019-01-16 08:00:00,212.0,27.4,56,21.9
2019-01-16 09:00:00,434.0,30.0,48,20.8
2019-01-16 10:00:00,631.0,32.4,40,19.2
2019-01-16 11:00:00,788.0,34.2,34,16.0
2019-01-16 12:00:00,874.0,35.3,32,13.9
2019-01-16 13:00:00,883.0,36.0,31,11.6
2019-01-16 14:00:00,816.0,36.5,29,9.8
2019-01-16 15:00:00,678.0,36.8,29,9.3
2019-01-16 16:00:00,486.0,36.6,28,11.2
2019-01-16 17:00:00,206.0,35.8,29,10.9
2019-01-17 06:00:00,0.0,25.6,67,24.1
2019-01-17 07:00:00,30.0,26.1,65,21.8
2019-01-17 08:00:00,214.0,28.2,58,24.5
2019-01-17 09:00:00,438.0,30.6,49,24.2
2019-01-17 10:00:00,638.0,32.8,41,21.9
2019-01-17 11:00:00,790.0,34.5,36,15.5
2019-01-17 12:00:00,873.0,35.7,33,12.5
2019-01-17 13:00:00,857.0,36.2,32,10.5
2019-01-17 14:00:00,726.0,36.0,32,9.7
2019-01-17 15:00:00,608.0,35.8,32,9.0
2019-01-17 16:00:00,433.0,35.5,33,9.0
2019-01-17 17:00:00,232.0,34.8,34,11.3
2019-01-18 06:00:00,0.0,25.2,72,18.4
2019-01-18 07:00:00,29.0,26.0,68,17.1
2019-01-18 08:00:00,213.0,28.0,60,20.1
2019-01-18 09:00:00,440.0,30.4,52,19.6
2019-01-18 10:00:00,643.0,32.8,43,19.3
2019-01-18 11:00:00,790.0,34.5,37,16.1
2019-01-18 12:00:00,869.0,35.5,34,14.7
2019-01-18 13:00:00,865.0,36.2,32,13.7
2019-01-18 14:00:00,799.0,36.7,30,14.0
2019-01-18 15:00:00,671.0,36.7,30,15.5
2019-01-18 16:00:00,478.0,36.2,30,15.0
2019-01-18 17:00:00,255.0,35.2,32,16.2
2019-01-19 06:00:00,0.0,25.8,71,21.1
2019-01-19 07:00:00,30.0,26.5,69,19.0
2019-01-19 08:00:00,212.0,28.5,60,20.5
2019-01-19 09:00:00,436.0,30.9,51,17.9
2019-01-19 10:00:00,632.0,33.1,41,14.1
2019-01-19 11:00:00,785.0,34.7,37,12.1
2019-01-19 12:00:00,870.0,36.0,33,11.2
2019-01-19 13:00:00,880.0,36.8,30,10.5
2019-01-19 14:00:00,808.0,37.3,28,9.8
2019-01-19 15:00:00,662.0,37.4,27,9.7
2019-01-19 16:00:00,477.0,37.1,27,10.8
2019-01-19 17:00:00,254.0,36.0,28,13.0
2019-01-20 06:00:00,0.0,25.7,66,16.5
2019-01-20 07:00:00,30.0,26.5,63,14.9
2019-01-20 08:00:00,215.0,28.8,55,12.8
2019-01-20 09:00:00,444.0,31.2,44,9.4
2019-01-20 10:00:00,646.0,33.0,39,7.1
2019-01-20 11:00:00,798.0,34.8,35,6.5
2019-01-20 12:00:00,883.0,36.0,33,2.4
2019-01-20 13:00:00,883.0,36.8,31,1.5
2019-01-20 14:00:00,781.0,37.0,30,1.6
2019-01-20 15:00:00,628.0,37.0,30,1.1
2019-01-20 16:00:00,446.0,36.8,30,2.3
2019-01-20 17:00:00,246.0,36.5,30,4.8
2019-01-21 06:00:00,0.0,26.8,61,17.9
2019-01-21 07:00:00,29.0,27.2,60,19.8
2019-01-21 08:00:00,210.0,29.0,55,25.0
2019-01-21 09:00:00,433.0,31.1,47,23.2
2019-01-21 10:00:00,638.0,32.9,42,17.4
2019-01-21 11:00:00,787.0,34.2,38,15.2
2019-01-21 12:00:00,879.0,35.3,35,12.7
2019-01-21 13:00:00,809.0,35.8,33,8.6
2019-01-21 14:00:00,754.0,36.3,32,11.5
2019-01-21 15:00:00,636.0,36.1,33,17.6
2019-01-21 16:00:00,461.0,35.8,34,18.8
2019-01-21 17:00:00,239.0,34.5,36,21.8
2019-01-22 06:00:00,0.0,25.0,72,26.6
2019-01-22 07:00:00,29.0,25.9,69,23.2
2019-01-22 08:00:00,216.0,28.0,60,26.6
2019-01-22 09:00:00,446.0,30.4,51,27.4
2019-01-22 10:00:00,651.0,32.3,45,24.9
2019-01-22 11:00:00,804.0,34.0,39,21.5
2019-01-22 12:00:00,892.0,35.5,34,18.4
2019-01-22 13:00:00,904.0,36.5,30,17.4
2019-01-22 14:00:00,836.0,36.8,30,16.1
2019-01-22 15:00:00,696.0,36.7,30,15.2
2019-01-22 16:00:00,497.0,36.3,30,15.6
2019-01-22 17:00:00,267.0,34.8,35,21.4
2019-01-23 06:00:00,0.0,26.3,54,28.0
2019-01-23 07:00:00,30.0,27.0,52,28.2
2019-01-23 08:00:00,218.0,28.8,48,29.2
2019-01-23 09:00:00,453.0,30.8,42,27.8
2019-01-23 10:00:00,660.0,32.9,36,25.5
2019-01-23 11:00:00,812.0,34.5,33,24.2
2019-01-23 12:00:00,898.0,35.2,32,22.6
2019-01-23 13:00:00,904.0,35.9,31,20.0
2019-01-23 14:00:00,836.0,36.5,30,17.9
2019-01-23 15:00:00,698.0,36.8,29,16.6
2019-01-23 16:00:00,502.0,36.2,30,18.1
2019-01-23 17:00:00,272.0,35.0,31,19.1
2019-01-24 06:00:00,0.0,25.1,67,19.1
2019-01-24 07:00:00,29.0,25.1,66,15.8
2019-01-24 08:00:00,215.0,27.4,57,17.6
2019-01-24 09:00:00,446.0,30.6,46,15.8
2019-01-24 10:00:00,651.0,33.2,37,14.3
2019-01-24 11:00:00,805.0,35.3,32,10.4
2019-01-24 12:00:00,890.0,36.8,29,8.0
2019-01-24 13:00:00,899.0,37.5,28,6.2
2019-01-24 14:00:00,832.0,38.0,27,4.7
2019-01-24 15:00:00,693.0,38.3,26,4.4
2019-01-24 16:00:00,498.0,38.3,26,7.4
2019-01-24 17:00:00,270.0,37.3,27,13.4
2019-01-25 06:00:00,0.0,25.3,66,13.5
2019-01-25 07:00:00,29.0,26.0,66,10.0
2019-01-25 08:00:00,211.0,28.2,57,10.3
2019-01-25 09:00:00,440.0,30.5,49,9.3
2019-01-25 10:00:00,645.0,32.1,45,6.5
2019-01-25 11:00:00,797.0,33.7,40,7.0
2019-01-25 12:00:00,875.0,34.8,37,4.5
