Mes,Real,SARIMAX,LSTM
2023-01,12683629.84,14101451.122519704,12285566.038710348
2023-02,13104196.79,14094292.150249273,12395419.412224406
2023-03,13968635.51,13089954.001541268,12409044.811507175
2023-04,11968831.12,12043364.790572032,11879801.46781947
2023-05,12969364.94,10691399.412458314,11386154.498534042
2023-06,12624072.1,10446850.11701295,11267563.505393937
2023-07,13325642.26,12929404.909879575,11266482.005285505
2023-08,13295989.77,11368305.675119763,11596593.390466284
2023-09,12609645.1,11094627.375643698,11665916.796375083
2023-10,12131952.98,11348719.34517163,11553746.459087055
2023-11,12756108.73,12165839.692962555,11436048.45457815
2023-12,14739962.19,13434323.129647177,11707941.337046858
